timestamp,posX,posY
2024-04-01T16:00:55.302Z,768,146
2024-04-01T16:00:55.628Z,591,156
2024-04-01T16:00:55.948Z,565,394
2024-04-01T16:00:56.196Z,359,402
2024-04-01T16:00:56.500Z,905,511
2024-04-01T16:00:56.764Z,1316,384
2024-04-01T16:00:57.036Z,1186,119
2024-04-01T16:00:57.315Z,713,143
2024-04-01T16:00:57.556Z,456,111
2024-04-01T16:00:57.788Z,304,94
2024-04-01T16:00:58.052Z,138,337
2024-04-01T16:00:58.324Z,423,542
2024-04-01T16:00:58.608Z,599,493
2024-04-01T16:00:58.835Z,758,447
2024-04-01T16:00:59.065Z,951,435
2024-04-01T16:00:59.500Z,1110,507
2024-04-01T16:00:59.732Z,1155,297
2024-04-01T16:01:00.020Z,1148,201
2024-04-01T16:01:00.245Z,681,142
2024-04-01T16:01:00.509Z,466,114
2024-04-01T16:01:00.724Z,327,63
2024-04-01T16:01:00.972Z,171,177
2024-04-01T16:01:01.269Z,165,345
2024-04-01T16:01:01.508Z,450,469
2024-04-01T16:01:01.709Z,527,432
2024-04-01T16:01:01.932Z,302,563
2024-04-01T16:01:02.186Z,756,453
2024-04-01T16:01:02.508Z,544,155
2024-04-01T16:01:02.740Z,405,144
2024-04-01T16:01:02.972Z,691,93
2024-04-01T16:01:03.216Z,756,49
2024-04-01T16:01:03.468Z,629,137
2024-04-01T16:01:03.748Z,622,199
